"","name","artist","album"
"82","...Like Clockwork","Queens of the Stone Age","...Like Clockwork"
"138","You May Die (Intro)","OutKast","ATLiens"
"203","I Don't Care","Ariana Grande","Dangerous Woman"
"213","Coaster","Khalid","American Teen"
"221","Shot Down","Khalid","American Teen"
"222","Angels","Khalid","American Teen"
"273","Count on Me - EP Version","Bruno Mars","Doo-Wops & Hooligans"
"282","Any Old Love Won't Do","George Strait","Strait Out Of The Box"
"284","Marina Del Rey","George Strait","Strait Out Of The Box"
"298","The Chair","George Strait","Strait Out Of The Box"
"299","You're Something Special To Me","George Strait","Strait Out Of The Box"
"302","Lefty's Gone","George Strait","Strait Out Of The Box"
"311","Baby Blue","George Strait","Strait Out Of The Box"
"316","What's Going On In Your World","George Strait","Strait Out Of The Box"
"318","Love Without End, Amen","George Strait","Strait Out Of The Box"
"319","Drinking Champagne","George Strait","Strait Out Of The Box"
"321","If I Know Me","George Strait","Strait Out Of The Box"
"323","The Chill Of An Early Fall","George Strait","Strait Out Of The Box"
"325","Milk Cow Blues","George Strait","Strait Out Of The Box"
"327","So Much Like My Dad","George Strait","Strait Out Of The Box"
"332","When Did You Stop Loving Me","George Strait","Strait Out Of The Box"
"334","The King Of Broken Hearts - Pure Country/Soundtrack Version","George Strait","Strait Out Of The Box"
"336","Easy Come, Easy Go","George Strait","Strait Out Of The Box"
"337","I'd Like To Have That One Back","George Strait","Strait Out Of The Box"
"339","The Man In Love With You","George Strait","Strait Out Of The Box"
"340","Just Look At Me","George Strait","Strait Out Of The Box"
"346","I Know She Still Loves Me","George Strait","Strait Out Of The Box"
"347","El Paso","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"349","Ribbon Of Darkness","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"351","Big Iron","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"352","Devil Woman","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"353","Don't Worry","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"354","Tonight Carmen","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"356","Kaw-Liga","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"358","Padre","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"359","The Hanging Tree","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"360","Red River Valley","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"361","Joli Girl","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"362","The Girl With Gardenias In Her Hair","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"364","Maria (If I Could)","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"365","I Walk Alone","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"366","Aloha Oe (Farewell To Thee)","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"367","Crazy","Willie Nelson","Certified Hits"
"368","Hello Walls","Willie Nelson","Certified Hits"
"369","Mr. Record Man - Remastered 2001","Willie Nelson","Certified Hits"
"370","Undo The Right - Digitally Remastered '01","Willie Nelson","Certified Hits"
"372","Three Days - Remastered 2001","Willie Nelson","Certified Hits"
"376","Night Life - 2001 Digital Remaster","Willie Nelson","Certified Hits"
"380","Give My Love to Rose","Johnny Cash","I Walk the Line"
"382","I Still Miss Someone","Johnny Cash","I Walk the Line"
"384","Wreck of the Old 97","Johnny Cash","I Walk the Line"
"385","Still in Town","Johnny Cash","I Walk the Line"
"388","Troublesome Waters","Johnny Cash","I Walk the Line"
"394","Who Are You? - Remastered Version","Black Sabbath","Sabbath Bloody Sabbath (Remastered Edition)"
"396","Spiral Architect - Remastered Version","Black Sabbath","Sabbath Bloody Sabbath (Remastered Edition)"
"399","Embryo - Remastered Version","Black Sabbath","Master of Reality (Remastered Edition)"
